"s37rep1_sum"	"s37rep2_sum"	"s37rep3_sum"	"s32rep1_sum"	"s32rep2_sum"	"s32rep3_sum"
"ENSG00000035141"	8967	8947	4578	7620	7752	4945
"ENSG00000035403"	1175	853	859	628	726	480
"ENSG00000035499"	518	555	474	388	400	369
"ENSG00000035664"	11	33	74	9	23	43
"ENSG00000035681"	138	163	118	135	97	110
"ENSG00000035687"	723	536	350	355	435	186
"ENSG00000035862"	130	167	133	72	153	207
"ENSG00000035928"	1010	870	585	577	552	470
"ENSG00000036054"	335	360	314	185	283	193
"ENSG00000036257"	528	826	415	565	749	412
"ENSG00000036448"	142	122	94	65	140	49
"ENSG00000036473"	0	0	8	0	0	0
"ENSG00000036530"	590	330	267	244	149	109
"ENSG00000036549"	521	579	430	578	603	597
"ENSG00000036565"	11	14	3	9	12	3
"ENSG00000036672"	71	34	33	20	27	36
"ENSG00000036828"	225	194	164	162	146	114
"ENSG00000037042"	66	81	142	56	45	66
"ENSG00000037241"	6264	6664	4647	5494	6357	5799
"ENSG00000037280"	469	376	437	424	384	316
"ENSG00000037474"	957	830	251	729	806	280
"ENSG00000037637"	133	108	174	82	77	66
"ENSG00000037749"	439	434	263	233	320	216
"ENSG00000037757"	842	655	571	558	566	412
"ENSG00000037897"	762	686	342	926	836	489
"ENSG00000037965"	27	30	19	11	11	9
"ENSG00000038002"	141	150	198	171	160	192
"ENSG00000038210"	140	118	94	92	151	135
"ENSG00000038219"	80	126	73	60	59	52
"ENSG00000038274"	2842	2853	1795	1479	1605	1142
"ENSG00000038295"	8	5	17	3	6	3
"ENSG00000038358"	375	395	256	307	182	139
"ENSG00000038382"	230	285	207	151	122	132
"ENSG00000038427"	531	508	389	247	380	295
"ENSG00000038532"	302	210	169	230	99	80
"ENSG00000038945"	1	0	0	0	0	0
"ENSG00000039068"	1	5	0	6	3	4
"ENSG00000039123"	1121	962	696	604	703	602
"ENSG00000039139"	0	0	0	6	2	1
"ENSG00000039319"	388	449	439	194	320	253
"ENSG00000039523"	293	261	382	345	143	135
"ENSG00000039560"	517	397	389	285	335	277
"ENSG00000039600"	3	0	0	1	0	0
"ENSG00000039650"	2161	2052	2613	2173	2011	1897
"ENSG00000040199"	88	59	30	29	48	16
"ENSG00000040275"	874	713	527	563	586	500
"ENSG00000040341"	271	277	287	202	233	250
"ENSG00000040487"	115	89	103	198	171	117
"ENSG00000040531"	215	151	107	225	130	93
"ENSG00000040608"	31	24	10	11	6	0
"ENSG00000040633"	1332	1303	605	1125	1225	390
"ENSG00000040731"	1	0	5	1	7	0
"ENSG00000040933"	146	163	124	89	80	60
"ENSG00000041353"	5	2	6	4	0	0
"ENSG00000041357"	12351	13351	6765	10207	11741	9070
"ENSG00000041515"	1	0	0	0	0	0
"ENSG00000041802"	277	227	88	208	202	64
"ENSG00000041880"	43	32	52	32	20	26
"ENSG00000041982"	1848	1529	2446	1174	1393	1785
"ENSG00000041988"	407	357	347	380	263	131
"ENSG00000042062"	5	0	4	0	0	0
"ENSG00000042088"	1317	1303	842	778	841	768
"ENSG00000042286"	113	94	32	104	69	39
"ENSG00000042317"	190	176	236	144	168	154
"ENSG00000042429"	768	749	438	378	420	204
"ENSG00000042445"	188	187	228	153	137	132
"ENSG00000042493"	99	75	77	54	47	71
"ENSG00000042753"	4238	3672	2744	4871	3502	1359
"ENSG00000042781"	2	1	8	0	0	0
"ENSG00000042980"	20	11	13	4	5	2
"ENSG00000043039"	44	35	34	35	30	19
"ENSG00000043093"	549	511	245	239	332	259
"ENSG00000043143"	20	19	33	14	40	14
"ENSG00000043355"	154	186	124	125	106	142
"ENSG00000043514"	946	989	916	797	1109	701
"ENSG00000043591"	2	4	0	0	0	3
"ENSG00000044090"	241	214	256	144	235	68
"ENSG00000044115"	1522	1586	1016	1093	1251	851
"ENSG00000044446"	113	122	100	89	69	47
"ENSG00000044459"	82	75	59	63	48	60
"ENSG00000044524"	101	80	68	33	35	64
"ENSG00000044574"	16555	11357	6734	15113	10912	4259
"ENSG00000046604"	163	148	158	91	124	110
"ENSG00000046647"	312	302	441	302	231	473
"ENSG00000046651"	526	626	568	450	402	476
"ENSG00000046653"	262	273	196	161	271	227
"ENSG00000046774"	1	0	0	1	0	0
